league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Betfair Sportsbook,totals,under2.5,2.2
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,William Hill,totals,over2.5,1.67
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,William Hill,totals,under2.5,2.1
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Coral,totals,over2.5,1.61
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Coral,totals,under2.5,2.15
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Casumo,totals,over2.5,1.68
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Casumo,totals,under2.5,2.2
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Unibet,totals,over2.5,1.68
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Unibet,totals,under2.5,2.2
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Grosvenor,totals,over2.5,1.66
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Grosvenor,totals,under2.5,2.17
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Mr Green,totals,over2.5,1.65
EPL,2024-02-01T19:30:00Z,West Ham United,Bournemouth,Mr Green,totals,under2.5,2.15
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Betfair Sportsbook,totals,over2.5,1.65
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Betfair Sportsbook,totals,under2.5,2.1
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,William Hill,totals,over2.5,1.73
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,William Hill,totals,under2.5,2.0
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Coral,totals,over2.5,1.67
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Coral,totals,under2.5,2.1
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Casumo,totals,over2.5,1.73
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Casumo,totals,under2.5,2.12
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Grosvenor,totals,over2.5,1.71
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Grosvenor,totals,under2.5,2.1
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Unibet,totals,over2.5,1.73
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Unibet,totals,under2.5,2.12
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Mr Green,totals,over2.5,1.7
EPL,2024-02-01T20:15:00Z,Wolverhampton Wanderers,Manchester United,Mr Green,totals,under2.5,2.08
